case_id,strategy,components_original,components_corrected
883,s3c_closing__r_0.6mm,9,8
884,s3c_closing__r_0.6mm,4,4
885,s3c_closing__r_0.6mm,13,9
886,s3c_closing__r_0.6mm,11,8
887,s3c_closing__r_0.6mm,19,14
888,s3c_closing__r_0.6mm,7,4
889,s3c_closing__r_0.6mm,8,6
890,s3c_closing__r_0.6mm,2,2
891,s3c_closing__r_0.6mm,8,7
892,s3c_closing__r_0.6mm,32,14
893,s3c_closing__r_0.6mm,7,5
894,s3c_closing__r_0.6mm,12,9
895,s3c_closing__r_0.6mm,17,9
896,s3c_closing__r_0.6mm,12,10
897,s3c_closing__r_0.6mm,9,7
898,s3c_closing__r_0.6mm,5,2
899,s3c_closing__r_0.6mm,11,5
900,s3c_closing__r_0.6mm,5,3
901,s3c_closing__r_0.6mm,17,10
902,s3c_closing__r_0.6mm,10,7
903,s3c_closing__r_0.6mm,8,5
904,s3c_closing__r_0.6mm,16,9
905,s3c_closing__r_0.6mm,12,5
906,s3c_closing__r_0.6mm,12,8
907,s3c_closing__r_0.6mm,9,8
908,s3c_closing__r_0.6mm,10,5
909,s3c_closing__r_0.6mm,10,7
910,s3c_closing__r_0.6mm,11,7
911,s3c_closing__r_0.6mm,6,5
912,s3c_closing__r_0.6mm,10,7
913,s3c_closing__r_0.6mm,10,8
914,s3c_closing__r_0.6mm,10,7
915,s3c_closing__r_0.6mm,9,6
916,s3c_closing__r_0.6mm,7,6
917,s3c_closing__r_0.6mm,11,8
918,s3c_closing__r_0.6mm,15,7
919,s3c_closing__r_0.6mm,6,6
920,s3c_closing__r_0.6mm,19,9
921,s3c_closing__r_0.6mm,10,5
922,s3c_closing__r_0.6mm,20,12
923,s3c_closing__r_0.6mm,7,5
924,s3c_closing__r_0.6mm,9,6
925,s3c_closing__r_0.6mm,19,10
926,s3c_closing__r_0.6mm,9,8
927,s3c_closing__r_0.6mm,13,10
928,s3c_closing__r_0.6mm,8,4
929,s3c_closing__r_0.6mm,17,10
930,s3c_closing__r_0.6mm,10,7
931,s3c_closing__r_0.6mm,23,15
932,s3c_closing__r_0.6mm,4,3
933,s3c_closing__r_0.6mm,17,11
934,s3c_closing__r_0.6mm,5,5
935,s3c_closing__r_0.6mm,6,5
936,s3c_closing__r_0.6mm,13,8
937,s3c_closing__r_0.6mm,9,4
938,s3c_closing__r_0.6mm,15,9
939,s3c_closing__r_0.6mm,13,8
940,s3c_closing__r_0.6mm,15,11
941,s3c_closing__r_0.6mm,6,4
942,s3c_closing__r_0.6mm,11,6
943,s3c_closing__r_0.6mm,17,13
944,s3c_closing__r_0.6mm,20,16
945,s3c_closing__r_0.6mm,8,8
946,s3c_closing__r_0.6mm,9,4
947,s3c_closing__r_0.6mm,12,11
948,s3c_closing__r_0.6mm,10,5
949,s3c_closing__r_0.6mm,5,4
950,s3c_closing__r_0.6mm,17,11
951,s3c_closing__r_0.6mm,10,8
952,s3c_closing__r_0.6mm,6,4
953,s3c_closing__r_0.6mm,10,7
954,s3c_closing__r_0.6mm,6,4
955,s3c_closing__r_0.6mm,7,4
956,s3c_closing__r_0.6mm,9,5
957,s3c_closing__r_0.6mm,18,8
958,s3c_closing__r_0.6mm,13,9
959,s3c_closing__r_0.6mm,25,12
960,s3c_closing__r_0.6mm,20,9
961,s3c_closing__r_0.6mm,12,5
962,s3c_closing__r_0.6mm,26,13
963,s3c_closing__r_0.6mm,12,9
964,s3c_closing__r_0.6mm,5,4
965,s3c_closing__r_0.6mm,16,9
966,s3c_closing__r_0.6mm,8,4
967,s3c_closing__r_0.6mm,7,3
968,s3c_closing__r_0.6mm,12,5
969,s3c_closing__r_0.6mm,13,8
970,s3c_closing__r_0.6mm,15,9
971,s3c_closing__r_0.6mm,11,8
972,s3c_closing__r_0.6mm,16,10
973,s3c_closing__r_0.6mm,10,5
974,s3c_closing__r_0.6mm,13,9
975,s3c_closing__r_0.6mm,12,10
976,s3c_closing__r_0.6mm,12,8
977,s3c_closing__r_0.6mm,2,2
978,s3c_closing__r_0.6mm,18,12
979,s3c_closing__r_0.6mm,9,7
980,s3c_closing__r_0.6mm,12,7
981,s3c_closing__r_0.6mm,13,6
982,s3c_closing__r_0.6mm,3,3
983,s3c_closing__r_0.6mm,13,6
984,s3c_closing__r_0.6mm,31,13
985,s3c_closing__r_0.6mm,12,5
986,s3c_closing__r_0.6mm,13,8
987,s3c_closing__r_0.6mm,4,3
988,s3c_closing__r_0.6mm,15,11
989,s3c_closing__r_0.6mm,6,5
990,s3c_closing__r_0.6mm,9,5
991,s3c_closing__r_0.6mm,23,13
992,s3c_closing__r_0.6mm,10,4
993,s3c_closing__r_0.6mm,12,6
994,s3c_closing__r_0.6mm,13,7
995,s3c_closing__r_0.6mm,17,11
996,s3c_closing__r_0.6mm,15,8
997,s3c_closing__r_0.6mm,12,7
998,s3c_closing__r_0.6mm,5,4
999,s3c_closing__r_0.6mm,18,14
