case_id,strategy,components_original,components_corrected
959,s2_relative_volume__frac_0.01,25,5
960,s2_relative_volume__frac_0.01,20,4
961,s2_relative_volume__frac_0.01,12,3
962,s2_relative_volume__frac_0.01,26,3
963,s2_relative_volume__frac_0.01,12,4
964,s2_relative_volume__frac_0.01,5,2
965,s2_relative_volume__frac_0.01,16,6
966,s2_relative_volume__frac_0.01,8,2
967,s2_relative_volume__frac_0.01,7,3
968,s2_relative_volume__frac_0.01,12,3
969,s2_relative_volume__frac_0.01,13,4
970,s2_relative_volume__frac_0.01,15,6
971,s2_relative_volume__frac_0.01,11,7
972,s2_relative_volume__frac_0.01,16,4
973,s2_relative_volume__frac_0.01,10,4
974,s2_relative_volume__frac_0.01,13,2
975,s2_relative_volume__frac_0.01,12,6
976,s2_relative_volume__frac_0.01,12,7
977,s2_relative_volume__frac_0.01,2,2
978,s2_relative_volume__frac_0.01,18,9
979,s2_relative_volume__frac_0.01,9,4
980,s2_relative_volume__frac_0.01,12,3
981,s2_relative_volume__frac_0.01,13,5
982,s2_relative_volume__frac_0.01,3,3
983,s2_relative_volume__frac_0.01,13,4
984,s2_relative_volume__frac_0.01,31,7
985,s2_relative_volume__frac_0.01,12,3
986,s2_relative_volume__frac_0.01,13,5
987,s2_relative_volume__frac_0.01,4,2
988,s2_relative_volume__frac_0.01,15,8
989,s2_relative_volume__frac_0.01,6,3
990,s2_relative_volume__frac_0.01,9,3
991,s2_relative_volume__frac_0.01,23,9
992,s2_relative_volume__frac_0.01,10,3
993,s2_relative_volume__frac_0.01,12,3
994,s2_relative_volume__frac_0.01,13,6
995,s2_relative_volume__frac_0.01,17,6
996,s2_relative_volume__frac_0.01,15,3
997,s2_relative_volume__frac_0.01,12,4
998,s2_relative_volume__frac_0.01,5,3
999,s2_relative_volume__frac_0.01,18,8
