case_id,strategy,components_original,components_corrected
871,s1_absolute_volume__mm3_5,10,8
872,s1_absolute_volume__mm3_5,16,12
873,s1_absolute_volume__mm3_5,14,7
874,s1_absolute_volume__mm3_5,7,6
875,s1_absolute_volume__mm3_5,9,8
876,s1_absolute_volume__mm3_5,10,6
877,s1_absolute_volume__mm3_5,10,6
878,s1_absolute_volume__mm3_5,9,9
879,s1_absolute_volume__mm3_5,3,3
880,s1_absolute_volume__mm3_5,9,7
881,s1_absolute_volume__mm3_5,14,13
882,s1_absolute_volume__mm3_5,13,7
883,s1_absolute_volume__mm3_5,9,8
884,s1_absolute_volume__mm3_5,4,4
885,s1_absolute_volume__mm3_5,13,9
886,s1_absolute_volume__mm3_5,11,8
887,s1_absolute_volume__mm3_5,19,14
888,s1_absolute_volume__mm3_5,7,4
889,s1_absolute_volume__mm3_5,8,6
890,s1_absolute_volume__mm3_5,2,2
891,s1_absolute_volume__mm3_5,8,7
892,s1_absolute_volume__mm3_5,32,14
893,s1_absolute_volume__mm3_5,7,5
894,s1_absolute_volume__mm3_5,12,9
895,s1_absolute_volume__mm3_5,17,9
896,s1_absolute_volume__mm3_5,12,10
897,s1_absolute_volume__mm3_5,9,8
898,s1_absolute_volume__mm3_5,5,2
899,s1_absolute_volume__mm3_5,11,6
900,s1_absolute_volume__mm3_5,5,3
901,s1_absolute_volume__mm3_5,17,10
902,s1_absolute_volume__mm3_5,10,8
903,s1_absolute_volume__mm3_5,8,5
904,s1_absolute_volume__mm3_5,16,9
905,s1_absolute_volume__mm3_5,12,5
906,s1_absolute_volume__mm3_5,12,8
907,s1_absolute_volume__mm3_5,9,8
908,s1_absolute_volume__mm3_5,10,5
909,s1_absolute_volume__mm3_5,10,7
910,s1_absolute_volume__mm3_5,11,7
911,s1_absolute_volume__mm3_5,6,5
912,s1_absolute_volume__mm3_5,10,7
913,s1_absolute_volume__mm3_5,10,8
914,s1_absolute_volume__mm3_5,10,7
915,s1_absolute_volume__mm3_5,9,6
916,s1_absolute_volume__mm3_5,7,6
917,s1_absolute_volume__mm3_5,11,8
918,s1_absolute_volume__mm3_5,15,7
919,s1_absolute_volume__mm3_5,6,6
920,s1_absolute_volume__mm3_5,19,9
921,s1_absolute_volume__mm3_5,10,5
922,s1_absolute_volume__mm3_5,20,12
923,s1_absolute_volume__mm3_5,7,5
924,s1_absolute_volume__mm3_5,9,7
925,s1_absolute_volume__mm3_5,19,10
926,s1_absolute_volume__mm3_5,9,8
927,s1_absolute_volume__mm3_5,13,10
928,s1_absolute_volume__mm3_5,8,4
929,s1_absolute_volume__mm3_5,17,10
930,s1_absolute_volume__mm3_5,10,7
931,s1_absolute_volume__mm3_5,23,15
932,s1_absolute_volume__mm3_5,4,3
933,s1_absolute_volume__mm3_5,17,11
934,s1_absolute_volume__mm3_5,5,5
935,s1_absolute_volume__mm3_5,6,5
936,s1_absolute_volume__mm3_5,13,8
937,s1_absolute_volume__mm3_5,9,5
938,s1_absolute_volume__mm3_5,15,9
939,s1_absolute_volume__mm3_5,13,8
940,s1_absolute_volume__mm3_5,15,11
941,s1_absolute_volume__mm3_5,6,5
942,s1_absolute_volume__mm3_5,11,7
943,s1_absolute_volume__mm3_5,17,13
944,s1_absolute_volume__mm3_5,20,16
945,s1_absolute_volume__mm3_5,8,8
946,s1_absolute_volume__mm3_5,9,4
947,s1_absolute_volume__mm3_5,12,11
948,s1_absolute_volume__mm3_5,10,6
949,s1_absolute_volume__mm3_5,5,4
950,s1_absolute_volume__mm3_5,17,11
951,s1_absolute_volume__mm3_5,10,8
952,s1_absolute_volume__mm3_5,6,4
953,s1_absolute_volume__mm3_5,10,7
954,s1_absolute_volume__mm3_5,6,4
955,s1_absolute_volume__mm3_5,7,4
956,s1_absolute_volume__mm3_5,9,5
957,s1_absolute_volume__mm3_5,18,9
958,s1_absolute_volume__mm3_5,13,9
959,s1_absolute_volume__mm3_5,25,12
960,s1_absolute_volume__mm3_5,20,9
961,s1_absolute_volume__mm3_5,12,5
962,s1_absolute_volume__mm3_5,26,13
963,s1_absolute_volume__mm3_5,12,9
964,s1_absolute_volume__mm3_5,5,4
965,s1_absolute_volume__mm3_5,16,10
966,s1_absolute_volume__mm3_5,8,4
967,s1_absolute_volume__mm3_5,7,3
968,s1_absolute_volume__mm3_5,12,5
969,s1_absolute_volume__mm3_5,13,9
970,s1_absolute_volume__mm3_5,15,9
971,s1_absolute_volume__mm3_5,11,8
972,s1_absolute_volume__mm3_5,16,10
973,s1_absolute_volume__mm3_5,10,5
974,s1_absolute_volume__mm3_5,13,9
975,s1_absolute_volume__mm3_5,12,10
976,s1_absolute_volume__mm3_5,12,9
977,s1_absolute_volume__mm3_5,2,2
978,s1_absolute_volume__mm3_5,18,13
979,s1_absolute_volume__mm3_5,9,7
980,s1_absolute_volume__mm3_5,12,8
981,s1_absolute_volume__mm3_5,13,6
982,s1_absolute_volume__mm3_5,3,3
983,s1_absolute_volume__mm3_5,13,7
984,s1_absolute_volume__mm3_5,31,13
985,s1_absolute_volume__mm3_5,12,5
986,s1_absolute_volume__mm3_5,13,8
987,s1_absolute_volume__mm3_5,4,3
988,s1_absolute_volume__mm3_5,15,12
989,s1_absolute_volume__mm3_5,6,5
990,s1_absolute_volume__mm3_5,9,5
991,s1_absolute_volume__mm3_5,23,13
992,s1_absolute_volume__mm3_5,10,4
993,s1_absolute_volume__mm3_5,12,6
994,s1_absolute_volume__mm3_5,13,8
995,s1_absolute_volume__mm3_5,17,11
996,s1_absolute_volume__mm3_5,15,8
997,s1_absolute_volume__mm3_5,12,7
998,s1_absolute_volume__mm3_5,5,4
999,s1_absolute_volume__mm3_5,18,14
